shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_116_1,26.19655,127.70572,130016
shapes_116_1,26.19655,127.70572,140001
shapes_116_1,26.19678,127.70617,140002
shapes_116_1,26.19683,127.70625,140003
shapes_116_1,26.1971,127.70675,140004
shapes_116_1,26.19722,127.70701,140005
shapes_116_1,26.19732,127.7073,140006
shapes_116_1,26.19737,127.70751,140007
shapes_116_1,26.19744,127.70782,140008
shapes_116_1,26.19759,127.7088,140009
shapes_116_1,26.19767,127.70935,140010
shapes_116_1,26.19768,127.70937,140011
shapes_116_1,26.19652,127.70568,150001
shapes_116_1,26.19678,127.70617,150002
shapes_116_1,26.19683,127.70625,150003
shapes_116_1,26.1971,127.70675,150004
shapes_116_1,26.19722,127.70701,150005
shapes_116_1,26.19732,127.7073,150006
shapes_116_1,26.19737,127.70751,150007
shapes_116_1,26.19744,127.70782,150008
shapes_116_1,26.19759,127.7088,150009
shapes_116_1,26.19767,127.70935,150010
shapes_116_1,26.19768,127.70937,150011
shapes_116_1,26.19768,127.70937,160001
shapes_116_1,26.19769,127.70943,160002
shapes_116_1,26.19774,127.70973,160003
shapes_116_1,26.19778,127.70994,160004
shapes_116_1,26.19787,127.71046,160005
shapes_116_1,26.19791,127.71074,160006
shapes_116_1,26.198,127.71138,160007
shapes_116_1,26.19803,127.71155,160008
shapes_116_1,26.19808,127.71191,160009
shapes_116_1,26.19816,127.71243,160010
shapes_116_1,26.19822,127.71275,160011
shapes_116_1,26.1983,127.71334,160012
shapes_116_1,26.1983,127.71357,160013
shapes_116_1,26.19933,127.71401,160014
shapes_116_1,26.19965,127.71415,160015
shapes_116_1,26.20006,127.7144,160016
shapes_116_1,26.1999,127.7143,170001
shapes_116_1,26.20017,127.71446,170002
shapes_116_1,26.20056,127.71475,170003
shapes_116_1,26.20084,127.71501,170004
shapes_116_1,26.20099,127.7152,170005
shapes_116_1,26.20121,127.71554,170006
shapes_116_1,26.20135,127.71582,170007
shapes_116_1,26.20146,127.71611,170008
shapes_116_1,26.20155,127.71639,170009
shapes_116_1,26.20167,127.71695,170010
shapes_116_1,26.20174,127.71739,170011
shapes_116_1,26.20183,127.71799,170012
shapes_116_1,26.20194,127.71873,170013
shapes_116_1,26.20205,127.71925,170014
shapes_116_1,26.20226,127.71978,170015
shapes_116_1,26.20246,127.72019,170016
shapes_116_1,26.20269,127.7205,170017
shapes_116_1,26.1999,127.7143,180001
shapes_116_1,26.20017,127.71446,180002
shapes_116_1,26.20056,127.71475,180003
shapes_116_1,26.20084,127.71501,180004
shapes_116_1,26.20099,127.7152,180005
shapes_116_1,26.20121,127.71554,180006
shapes_116_1,26.20135,127.71582,180007
